Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Crandallite,2.84,4.0,1.7,,,,,,,54.1,,,,,19.55,,14.96,,,,,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawfordite,3.06,3.0,,,,,,3.85,,35.95,,,22.14,,,,9.94,,,,,,,,,,,,,,,,,,,,,,,28.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creaseyite,4.1,2.5,1.04,,,,,,,31.55,,,,,0.58,12.04,,,,,,,,,,,,8.38,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crednerite,5.0,4.5,,,,,,,,21.26,,,,,,,,,,,,,,,,,36.51,,,,42.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creedite,2.71,3.5,1.33,,,,,,,27.68,29.0,,,,10.98,,,6.53,,,,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crerarite,,3.0,,,,,,,,,,,,,,,,9.03,,,,,,,,,,,,,,,,,,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.26,,,,5.4,65.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crichtonite,4.46,5.5,,,,,,,,34.3,,,,,,,,,,,,,,38.09,,,2.17,17.96,,,,,,,,,,,,3.46,0.5,,,,,,,,,,,,,,,,,,1.57,0.79,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criddleite,,3.25,,,,,,,,,,,,,,,,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,,,,47.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristobalite,2.27,6.5,,,,,,,,53.26,,,,,,46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocoite,6.0,2.75,,,,,,,,19.87,,,,,,0.04,,,,,,,,,,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronstedtite,3.34,3.5,1.01,,,,,,,36.04,,,,,,7.03,,,,,,,,,,,,55.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronusite,2.51,1.5,2.61,,,,,,,20.74,,,,,,,,39.59,,,,4.95,,,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crookesite,6.9,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.28,,,,,33.57,,,,,,,,,,,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossite,3.16,6.0,0.25,,,,,,,48.28,,,5.78,6.11,2.54,28.25,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryolite,2.97,2.75,,,,,,,,,54.3,,32.85,,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryolithionite,2.78,2.5,,,5.6,,,,,,61.33,,18.55,,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptohalite,2.011,2.5,4.53,,,,,,15.72,,63.98,,,,,15.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptomelane,4.36,6.25,,,,,,,,34.85,,,,,,,,,,,5.32,,,,,,59.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophyllite,,,2.1,,,,,,,49.93,,,,,,23.37,,,,,16.27,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cualstibite,3.18,2.0,2.52,,,,,,,40.01,,,,,5.62,,,,,,,,,,,,,,,,26.48,,,,,,,,,,,,,,,,,,,,,,25.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubanite,4.7,3.5,,,,,,,,,,,,,,,,35.44,,,,,,,,,,41.15,,,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuboargyrite,5.33,3.0,,,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.22,,,,46.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumengite,4.67,2.5,0.66,,,,,,,9.32,,,,,,,,,18.85,,,,,,,,,,,,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cummingtonite,3.35,5.5,0.26,,,,,,,49.18,,,,21.79,,28.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupalite,,4.5,,,,,,,,,,,,,29.74,,,,,,,,,,,,,,,,63.05,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprite,6.1,3.75,,,,,,,,11.18,,,,,,,,,,,,,,,,,,,,,88.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprobismutite,6.47,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprocopiapite,2.12,2.75,3.37,,,,,,,58.52,,,,,,,,15.3,,,,,,,,,,17.76,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuproiridsite,7.24,5.5,,,,,,,,,,,,,,,,22.26,,,,,,,,,,,,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupromakovickyite,,,,,,,,,,,,,,,,,,17.6,,,,,,,,,,,,,7.68,,,,,0.31,,,,,,,,,,,,,4.02,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48,60.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupropavonite,,2.0,,,,,,,,,,,,,,,,17.74,,,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,,,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupropearceite,,,,,,,,,,,,,,,,,,18.39,,,,,,,,,,,,,23.19,,,,7.81,,,,,,,,,,,,,,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupropolybasite,,,,,,,,,,,,,,,,,,17.53,,,,,,,,,,,,,22.11,,,,,,,,,,,,,,,,,,48.25,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprorhodsite,6.74,5.25,,,,,,,,,,,,,,,,32.26,,,,,,,,,,,,,15.98,,,,,,,,,,,,,,,,51.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprorivaite,3.08,5.0,,,,,,,,42.56,,,,,,29.88,,,,,,10.66,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprosklodowskite,3.8,4.0,1.17,,,,,,,29.7,,,,,,6.52,,,,,,,,,,,,,,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprospinel,5.09,6.75,,,,,,,,27.96,,,,1.06,1.18,,,,,,,,,,,,,47.58,,,22.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprostibite,8.42,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.89,,,,,,,,,,,,,,,,,,,,,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprotungstite,7.06,4.5,0.28,,,,,,,22.21,,,,,,,,,,,,,,,,,,,,,26.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curetonite,4.31,3.5,0.52,,,,,,,30.34,,,,,6.98,,10.68,,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curienite,4.88,3.0,0.94,,,,,,,25.49,,,,,,,,,,,,,,,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.42,,,,,,,,,,44.61,,,,,,,,,,,,,,,,,,,,,,,,,,
Curite,7.19,4.5,0.3,,,,,,,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.12,,,,,,,,,,63.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuspidine,2.84,5.5,0.14,,,,,,,32.83,7.8,,,,,15.37,,,,,,43.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuzticite,3.9,3.0,1.55,,,,,,,36.98,,,,,,,,,,,,,,,,,,28.69,,,,,,,,,,,,,,,,,,,,,,,,,,32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanochroite,2.224,2.25,2.74,,,,,,,50.68,,,,,,,,14.51,,,17.69,,,,,,,,,,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanophyllite,3.1,2.0,2.08,,,,,,,37.02,,,,,4.46,,,,,,,,,,,,,,,,26.26,,,,,,,,,,,,,,,,,,,,,,30.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanotrichite,2.84,2.0,2.5,,,,,,,44.7,,,,,8.38,,,4.98,,,,,,,,,,,,,39.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrite,5.41,2.5,,,,,,,,,,,,,,,,24.34,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,25.74,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymrite,3.41,2.5,0.51,,,,,,,36.6,,,,,13.71,14.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrilovite,3.08,4.0,1.66,,,,,,,46.23,,,4.74,,,,12.78,,,,,,,,,,,34.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAnsite,2.64,3.0,,,,,,,,40.66,,,30.67,1.54,,,,20.37,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dachiardite-Ca,2.17,4.25,1.41,,,,,,,54.04,,,0.54,,7.31,29.7,,,,,2.01,3.44,,,,,,0.06,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,0.82,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dachiardite-Na,2.16,4.5,1.5,,,,,,,54.34,,,3.29,0.05,7.25,30.45,,,,,1.53,1.17,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadsonite,5.72,2.5,,,,,,,,,,,,,,,,19.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalyite,2.84,7.5,,,,,,,,41.99,,,0.04,0.09,0.05,29.53,,,,,13.0,,,0.75,,,,0.2,,,,,,,,,,,,,,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaraite,,3.0,0.14,,,,,,,6.8,,,,,,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damiaoite,10.95,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danalite,3.43,5.75,,,,4.84,,,,34.36,,,,,,15.08,,5.74,,,,,,,,,,39.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbaite,7.36,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danburite,2.99,7.0,,,,,8.79,,,52.06,,,,,,22.85,,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielsite,,2.25,,,,,,,,,,,,,,,,16.83,,,,,,,,,,,,,41.7,,,,,,,,,,,,,,,,,,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daomanite,7.03,3.75,,,,,,,,,,,,,,,,16.13,,,,,,,,,,,,,15.98,,,,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daqingshanite-Ce,3.81,5.0,0.07,,,,,5.46,,34.61,0.35,,,,,,5.63,,,,,4.37,,,,,,,,,,,,,,,,,,19.11,,,,,,,,,,,,,,,,,,4.99,6.31,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darapiosite,2.92,5.0,,,0.62,,,,,42.54,,,4.08,,,29.87,,,,,3.47,,,,,,7.3,,,,,,,,,,,,,,,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darapskite,2.202,2.5,0.82,,,,,,5.72,52.23,,,28.14,,,,,13.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashkovaite,,1.0,3.33,,,,,27.85,,54.73,,,,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datolite,2.9,5.5,0.63,,,,6.76,,,50.0,,,,,,17.56,,,,,,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daubreeite,6.5,2.25,0.2,,,,,,,9.55,,,,,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daubreelite,3.81,4.75,,,,,,,,,,,,,,,,44.52,,,,,,,,36.1,,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davanite,2.76,5.0,,,,,,,,44.94,,,,,,31.55,,,,,14.47,,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidite-Ce,4.43,6.0,,,,,,,,32.49,,,,,,,,,,,,,,38.38,,,,14.92,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,1.86,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidite-La,4.42,6.0,,,,,,,,32.67,,,,,,,,,,,,0.22,,38.59,,,,15.01,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,5.23,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Davisite,,,,,,,,,,40.73,,,,1.65,11.1,12.27,,,,,,16.83,9.54,5.28,0.43,,,0.24,,,,,,,,,,,,,0.38,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davreuxite,3.15,2.5,0.32,,,,,,,47.86,,,,,25.49,17.69,,,,,,,,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davyne,2.47,6.0,,,,,,,,38.96,,,7.51,,15.43,15.02,,1.77,6.7,,5.63,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawsonite,2.42,3.0,1.4,,,,,8.34,,55.56,,,15.97,,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayingite,,5.0,,,,,,,,,,,,,,,,28.77,,,,,,,,,,,13.22,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deanesmithite,,4.75,,,,,,,,6.67,,,,,,,,5.35,,,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decrespignyite-Y,3.64,4.0,1.17,,,,,5.22,,35.6,,,,,,,,,2.9,,,0.32,,,,,,,,,8.42,,,,,,,,,,32.08,,,,,,,,,,,,,,,,,,0.32,,0.16,1.0,,0.87,,3.99,0.37,3.18,2.28,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deerite,3.837,6.0,0.48,,,,,,,38.0,,,,,1.92,16.01,,,,,,,,,,,10.44,33.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defernite,2.5,3.0,1.45,,,,,3.45,,42.93,,,,,,2.69,,,3.4,,,46.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delafossite,5.41,5.5,,,,,,,,21.14,,,,,,,,,,,,,,,,,,36.89,,,41.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhayelite,2.6,4.5,1.12,,,,,,,49.71,0.41,,5.34,,5.01,27.81,,0.6,0.77,,3.03,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliensite,3.268,2.0,0.92,,,,,,,31.05,,,,,,,,7.32,,,,,,,,,,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.34,,,,,,,,,,,,,,,,,,,,,,,,,,
Delindeite,3.3,,0.68,,,,,,,35.23,,,3.63,,0.3,12.36,,,,,0.88,,,14.04,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dellaite,2.94,,0.38,,,,,,,38.9,,,,,,15.76,,,,,,44.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dellaventuraite,,5.0,0.09,,0.73,,,,,44.66,,,6.2,5.12,0.44,26.0,,,,,1.82,1.35,,3.34,,,5.43,4.61,,0.14,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deloneite-Ce,3.93,5.0,,,,,,,,30.24,2.99,,3.62,,,,14.64,,,,,12.63,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deloryite,4.9,4.0,0.64,,,,,,,27.06,,,,,,,,,,,,,,,,,,,,,26.87,,,,,,,,,,,,,20.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Delrioite,3.1,2.0,1.95,,,,,,,42.55,,,,,,,,,,,,9.69,,,24.63,,,,,,,,,,,,,,,21.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delvauxite,1.9,2.5,2.03,,,,,0.28,,53.54,,,,0.7,0.62,,10.04,4.08,,,,3.48,,,,,,25.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
